Time,Total Pressure,Current,Power,Remaining Capacity,Temp1,Temp2,Temp3,Temp4,SOC
10d9h27m46s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m46s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m47s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m47s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m47s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m47s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m48s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m48s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m48s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m48s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m49s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m49s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m49s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m49s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m50s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m50s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m50s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m50s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m51s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m51s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m51s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m52s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m52s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m52s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m52s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m53s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m53s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m53s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m53s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m54s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m54s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m54s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m54s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m55s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m55s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m55s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m55s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m56s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m56s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m56s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m57s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m57s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m57s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m57s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m58s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m58s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m58s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m58s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m59s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m59s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m59s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h27m59s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m0s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m0s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m0s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m1s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m1s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m1s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m1s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m2s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m2s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m2s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m3s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m3s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m3s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m3s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m4s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m4s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m4s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m4s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m5s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m5s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m5s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m5s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m6s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m6s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m6s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m6s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m7s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m7s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m7s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m8s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m8s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m8s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m8s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m9s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m9s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m9s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m9s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m10s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m10s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m10s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m10s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m11s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m11s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m11s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m11s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m12s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m12s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m12s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m13s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m13s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m13s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m13s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m14s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m14s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m14s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m14s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m15s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m15s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m15s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
10d9h28m15s,58.5,0.0,0.0,13.5,24,24,24,24,99.71
